1,2560,86010002,52.75,33.13,37.50,30.21,38.40,0.20,-0.23,-1.79,10.00
2,2560,86010004,50.85,28.72,30.38,29.09,34.76,-3.44,-3.87,-5.43,10.00
3,2560,86010006,42.42,34.25,27.24,28.45,33.09,-5.11,-5.54,-7.10,10.00
4,2560,86010008,54.12,39.59,38.21,42.10,43.51,5.31,4.88,3.32,10.00
5,2560,86010009,49.37,34.81,32.34,41.21,39.43,1.23,0.80,-0.76,10.00
6,2560,86010010,44.48,31.63,37.31,27.16,35.15,-3.05,-3.48,-5.04,10.00
7,2560,86010011,35.83,30.96,34.17,13.54,28.63,-9.57,-10.00,-11.56,10.00
8,2560,86010013,34.52,28.45,25.00,29.26,29.31,-8.89,-9.32,-10.88,10.00
9,2560,86010014,41.09,24.19,29.69,26.17,30.29,-7.91,-8.34,-9.90,10.00
10,2560,86010015,38.46,28.79,37.50,19.27,31.01,-7.19,-7.62,-9.18,10.00
11,2560,86010016,37.35,26.08,27.50,29.69,30.16,-8.04,-8.47,-10.03,10.00
12,2560,86010017,65.76,37.63,35.87,60.82,50.02,11.82,11.39,9.83,10.00
13,2560,86010019,47.09,36.78,28.64,29.55,35.52,-2.68,-3.11,-4.67,10.00
14,2560,86010020,52.25,44.17,33.33,31.25,40.25,2.05,1.62,0.06,10.00
15,2560,86010021,51.36,40.64,33.57,32.59,39.54,1.34,0.91,-0.65,10.00
16,2560,86010023,33.58,35.29,22.50,19.79,27.79,-10.41,-10.84,-12.40,10.00
17,2560,86010024,50.69,35.13,28.85,32.69,36.84,-1.36,-1.79,-3.35,10.00
18,2560,86010025,43.13,32.31,35.47,26.17,34.27,-3.93,-4.36,-5.92,10.00
19,2560,86010027,54.10,39.63,42.00,28.13,40.97,2.77,2.34,0.78,10.00
20,2560,86010029,57.17,44.17,30.83,44.79,44.24,6.04,5.61,4.05,10.00
21,2560,86010030,69.65,50.40,27.50,36.88,46.11,7.91,7.48,5.92,10.00
22,2560,86010032,38.58,26.63,16.67,35.42,29.33,-8.87,-9.30,-10.86,10.00
23,2560,86010036,40.88,36.38,26.25,31.25,33.69,-4.51,-4.94,-6.50,10.00
24,2560,86010037,44.40,27.93,26.50,25.00,30.96,-7.24,-7.67,-9.23,10.00
25,2560,86010039,56.17,39.63,32.50,30.21,39.63,1.43,1.00,-0.56,10.00
26,2560,86010040,45.13,36.38,39.38,25.00,36.47,-1.73,-2.16,-3.72,10.00
27,2560,86010041,52.25,26.63,20.00,40.63,34.88,-3.32,-3.75,-5.31,10.00
28,2560,86010042,57.33,38.75,37.92,38.54,43.14,4.94,4.51,2.95,10.00
29,2560,86010043,54.48,30.63,40.00,28.61,38.43,0.23,-0.20,-1.76,10.00
30,2560,86010044,40.75,37.03,35.00,27.81,35.15,-3.05,-3.48,-5.04,10.00
31,2560,86010045,46.61,30.34,30.71,25.45,33.28,-4.92,-5.35,-6.91,10.00
32,2560,86010046,62.00,43.34,42.14,25.89,43.34,5.14,4.71,3.15,10.00
33,2560,86010047,32.42,25.54,27.92,22.40,27.07,-11.13,-11.56,-13.12,10.00
34,2560,86010048,36.50,29.88,27.50,21.88,28.94,-9.26,-9.69,-11.25,10.00
35,2560,86010052,42.40,39.75,31.00,28.75,35.48,-2.72,-3.15,-4.71,10.00
36,2560,86010053,48.90,34.43,22.00,30.63,33.99,-4.21,-4.64,-6.20,10.00
37,2560,86010055,51.66,33.94,38.13,31.64,38.84,0.64,0.21,-1.35,10.00
38,2560,86010056,44.15,29.23,38.50,32.50,36.10,-2.10,-2.53,-4.09,10.00
39,2560,86010059,50.25,35.86,37.32,36.15,39.90,1.70,1.27,-0.29,10.00
40,2560,86010060,47.75,35.71,34.27,38.69,39.11,0.91,0.48,-1.08,10.00
41,2560,86010061,45.43,35.73,32.00,31.25,36.10,-2.10,-2.53,-4.09,10.00
42,2560,86010062,51.68,35.54,31.43,33.48,38.03,-0.17,-0.60,-2.16,10.00
43,2560,86010063,54.18,41.61,37.88,35.78,42.36,4.16,3.73,2.17,10.00
44,2560,86010064,40.43,33.13,29.29,29.91,33.19,-5.01,-5.44,-7.00,10.00
45,2560,86010066,41.25,26.63,38.75,32.81,34.86,-3.34,-3.77,-5.33,10.00
46,2560,86010068,52.17,38.54,30.83,35.94,39.37,1.17,0.74,-0.82,10.00
47,2560,86010069,59.41,37.26,41.82,31.53,42.51,4.31,3.88,2.32,10.00
48,2560,86010070,48.94,43.52,33.75,30.47,39.17,0.97,0.54,-1.02,10.00
49,2560,86010071,42.92,32.04,28.33,28.13,32.86,-5.34,-5.77,-7.33,10.00
50,2560,86010072,43.17,29.51,27.22,24.31,31.05,-7.15,-7.58,-9.14,10.00
51,2560,86010073,43.20,35.55,31.59,33.24,35.90,-2.30,-2.73,-4.29,10.00
52,2560,86010075,44.06,30.69,35.78,27.93,34.62,-3.58,-4.01,-5.57,10.00
53,2560,86010076,36.15,27.93,26.00,26.88,29.24,-8.96,-9.39,-10.95,10.00
54,2560,86010077,50.33,35.14,32.25,47.81,41.38,3.18,2.75,1.19,10.00
55,2560,86010078,40.70,30.76,28.64,26.42,31.63,-6.57,-7.00,-8.56,10.00
56,2560,86010079,25.19,26.78,23.75,25.78,25.38,-12.82,-13.25,-14.81,10.00
57,2560,86010080,38.67,30.96,26.67,31.25,31.89,-6.31,-6.74,-8.30,10.00
58,2560,86010083,46.50,33.13,40.00,26.04,36.42,-1.78,-2.21,-3.77,10.00
59,2560,86010089,41.17,39.63,30.83,29.69,35.33,-2.87,-3.30,-4.86,10.00
60,2560,86010090,36.91,28.34,30.53,31.41,31.80,-6.40,-6.83,-8.39,10.00
61,2560,86010091,55.35,33.13,35.50,28.75,38.18,-0.02,-0.45,-2.01,10.00
62,2560,86010092,48.91,36.22,31.08,33.54,37.44,-0.76,-1.19,-2.75,10.00
63,2560,86010093,50.52,37.02,32.08,34.38,38.50,0.30,-0.13,-1.69,10.00
64,2560,86010094,45.73,34.43,27.75,33.44,35.34,-2.86,-3.29,-4.85,10.00
65,2560,86010095,41.18,25.26,30.13,26.32,30.72,-7.48,-7.91,-9.47,10.00
66,2560,86010096,41.39,26.63,31.67,31.25,32.74,-5.46,-5.89,-7.45,10.00
67,2560,86010097,51.15,36.44,31.53,31.68,37.70,-0.50,-0.93,-2.49,10.00
68,2560,86010098,40.93,32.16,35.29,23.44,32.96,-5.24,-5.67,-7.23,10.00
69,2560,86010099,56.08,35.29,43.33,31.77,41.62,3.42,2.99,1.43,10.00
70,2560,86010100,34.92,32.40,30.00,23.96,30.32,-7.88,-8.31,-9.87,10.00
71,2560,86010101,43.27,34.83,30.94,27.34,34.10,-4.10,-4.53,-6.09,10.00
72,2560,86010102,29.00,37.46,22.50,27.08,29.01,-9.19,-9.62,-11.18,10.00
73,2560,86010103,43.63,36.38,32.50,20.31,33.21,-4.99,-5.42,-6.98,10.00
74,2560,86010104,43.11,31.32,30.69,28.13,33.31,-4.89,-5.32,-6.88,10.00
75,2560,86010105,59.85,37.03,33.00,29.38,39.82,1.62,1.19,-0.37,10.00
76,2560,86010106,57.25,34.05,32.14,28.13,37.89,-0.31,-0.74,-2.30,10.00
77,2560,86010107,37.58,27.71,26.67,27.60,29.89,-8.31,-8.74,-10.30,10.00
78,2560,86010108,34.71,30.96,32.08,26.04,30.95,-7.25,-7.68,-9.24,10.00
79,2560,86010109,66.50,49.38,45.00,34.38,48.82,10.62,10.19,8.63,10.00
80,2560,86010110,46.12,31.82,31.04,29.54,34.63,-3.57,-4.00,-5.56,10.00
81,2560,86010111,39.53,26.63,31.00,28.75,31.48,-6.72,-7.15,-8.71,10.00
82,2560,86010112,56.75,33.13,20.00,21.88,32.94,-5.26,-5.69,-7.25,10.00
83,2560,86010113,50.00,52.63,30.00,21.88,38.63,0.43,,-1.56,10.00
84,2560,86010115,61.69,38.16,36.25,32.81,42.23,4.03,3.60,2.04,10.00
85,2560,86010118,39.52,35.56,29.54,26.39,32.75,-5.45,-5.88,-7.44,10.00
86,2560,86010119,71.81,43.03,55.00,30.47,50.08,11.88,11.45,9.89,10.00
87,2560,86010120,50.42,30.96,35.00,35.42,37.95,-0.25,-0.68,-2.24,10.00
88,2560,86010121,44.58,34.21,38.75,28.65,36.55,-1.65,-2.08,-3.64,10.00
89,2560,86010122,35.75,35.29,30.83,38.54,35.10,-3.10,-3.53,-5.09,10.00
